iter	Passed	Remaining
0	5	5853
1	10	5251
2	15	5054
3	19	4945
4	24	4873
5	29	4832
6	34	4956
7	39	4959
8	45	4959
9	51	5066
10	55	5009
11	60	4999
12	65	4958
13	69	4927
14	74	4905
15	79	4889
16	83	4850
17	88	4817
18	92	4801
19	97	4779
20	102	4756
21	106	4731
22	110	4714
23	115	4689
24	119	4676
25	124	4672
26	129	4656
27	133	4637
28	138	4647
29	143	4625
30	147	4615
31	152	4607
32	157	4601
33	161	4583
34	166	4579
35	170	4558
36	174	4542
37	178	4527
38	183	4523
39	188	4517
40	192	4504
41	197	4502
42	202	4497
43	206	4494
44	210	4476
45	216	4482
46	220	4472
47	225	4463
48	229	4447
49	233	4438
50	237	4424
51	241	4409
52	246	4400
53	250	4385
54	255	4386
55	259	4379
56	264	4374
57	268	4365
58	273	4361
59	277	4353
60	282	4343
61	286	4332
62	290	4326
63	295	4319
64	299	4308
65	304	4302
66	308	4300
67	313	4292
68	317	4283
69	323	4293
70	327	4290
71	332	4285
72	337	4279
73	341	4278
74	346	4269
75	351	4268
76	355	4266
77	360	4262
78	365	4259
79	371	4272
80	377	4279
81	383	4288
82	388	4291
83	393	4290
84	400	4312
85	405	4313
86	413	4341
87	418	4339
88	424	4342
89	429	4347
90	435	4353
91	442	4365
92	448	4372
93	454	4381
94	460	4382
95	464	4374
96	469	4372
97	475	4372
98	479	4368
99	484	4364
100	490	4364
101	496	4370
102	502	4376
103	508	4382
104	513	4375
105	519	4380
106	524	4378
107	530	4381
108	536	4382
109	541	4380
110	546	4373
111	551	4370
112	556	4371
113	563	4375
114	569	4380
115	575	4389
116	581	4391
117	587	4389
118	592	4386
119	598	4392
120	604	4389
121	610	4391
122	615	4389
123	621	4390
124	627	4394
125	633	4397
126	640	4399
127	646	4405
128	651	4401
129	657	4397
130	663	4403
131	668	4397
132	674	4395
133	679	4389
134	684	4388
135	690	4386
136	696	4385
137	701	4382
138	705	4372
139	711	4368
140	715	4361
141	720	4354
142	725	4347
143	730	4339
144	734	4333
145	738	4322
146	744	4318
147	749	4311
148	753	4304
149	758	4298
150	763	4292
151	768	4286
152	772	4278
153	778	4276
154	783	4271
155	789	4272
156	795	4271
157	799	4260
158	804	4256
159	810	4253
160	816	4254
161	822	4255
162	828	4254
163	834	4252
164	840	4252
165	845	4248
166	850	4244
167	856	4242
168	862	4239
169	868	4238
170	873	4236
171	879	4234
172	885	4232
173	890	4226
174	896	4225
175	901	4220
176	907	4219
177	912	4214
178	917	4208
179	922	4203
180	927	4194
181	931	4186
182	936	4182
183	942	4177
184	946	4170
185	951	4164
186	956	4159
187	961	4152
188	966	4145
189	970	4137
190	976	4134
191	981	4129
192	986	4124
193	991	4118
194	995	4111
195	1000	4104
196	1005	4097
197	1010	4093
198	1015	4085
199	1019	4079
200	1024	4072
201	1028	4064
202	1032	4054
203	1037	4049
204	1042	4041
205	1046	4033
206	1051	4028
207	1056	4022
208	1061	4015
209	1065	4007
210	1069	4000
211	1074	3992
212	1078	3984
213	1082	3977
214	1087	3969
215	1091	3962
216	1096	3955
217	1100	3949
218	1105	3941
219	1109	3934
220	1114	3927
221	1119	3921
222	1122	3912
223	1127	3905
224	1131	3896
225	1135	3890
226	1140	3882
227	1144	3876
228	1149	3869
229	1153	3861
230	1158	3855
231	1162	3848
232	1167	3842
233	1171	3836
234	1177	3831
235	1181	3825
236	1186	3818
237	1190	3811
238	1195	3805
239	1200	3800
240	1204	3793
241	1209	3787
242	1213	3780
243	1218	3775
244	1223	3769
245	1228	3764
246	1233	3760
247	1241	3765
248	1247	3761
249	1253	3759
250	1257	3753
251	1262	3748
252	1267	3743
253	1272	3736
254	1277	3731
255	1283	3730
256	1287	3723
257	1292	3716
258	1297	3712
259	1301	3705
260	1303	3691
261	1308	3685
262	1313	3679
263	1317	3672
264	1321	3666
265	1326	3661
266	1331	3655
267	1335	3647
268	1340	3641
269	1344	3635
270	1349	3629
