iter	RMSE
0	0.7633029101
1	0.757278596
2	0.7508457278
3	0.7451944329
4	0.7394122491
5	0.7341126187
6	0.7287949891
7	0.7246334907
8	0.7202235813
9	0.7164878648
10	0.7126943027
11	0.7088047463
12	0.7053279218
13	0.7019014436
14	0.698546916
15	0.6956636279
16	0.6933297671
17	0.6905636286
18	0.6878559918
19	0.685596067
20	0.6830904292
21	0.6811010862
22	0.6791584831
23	0.6772034361
24	0.6750205507
25	0.6724515145
26	0.670540415
27	0.6689265828
28	0.6667510495
29	0.6651654871
30	0.6635358869
31	0.6620952054
32	0.6605944676
33	0.658998555
34	0.6580418634
35	0.6565711849
36	0.6552300284
37	0.6537606117
38	0.6523626892
39	0.6511963069
40	0.6496391917
41	0.6485681925
42	0.6476298961
43	0.6467335935
44	0.6456481687
45	0.6443151836
46	0.64325904
47	0.6421911661
48	0.6411737892
49	0.6400519085
50	0.6390867865
51	0.6378511214
52	0.6368862092
53	0.6359346744
54	0.6348990993
55	0.6337654896
56	0.6328695432
57	0.6319462524
58	0.6311095654
59	0.6305507168
60	0.629567123
61	0.6287528876
62	0.6277702007
63	0.6267948048
64	0.6258876568
65	0.6249315649
66	0.6238577783
67	0.6230946461
68	0.6228279548
69	0.6221923915
70	0.6213854255
71	0.6205753695
72	0.6199547642
73	0.6193795976
74	0.6186279233
75	0.6175603601
76	0.6166451447
77	0.6158632633
78	0.6149654697
79	0.6141923126
80	0.6137635839
81	0.6127883888
82	0.6119574132
83	0.6116207588
84	0.6111992755
85	0.6107508197
86	0.6100861237
87	0.6097175784
88	0.6089333708
89	0.6084921253
90	0.6078677411
91	0.6068595733
92	0.6060672093
93	0.6054775679
94	0.604818469
95	0.6041362353
96	0.603620827
97	0.6028750536
98	0.6022140491
99	0.6016341921
100	0.6010371487
101	0.6004032329
102	0.5998290079
103	0.599134598
104	0.5986916761
105	0.5979994696
106	0.597629081
107	0.597131862
108	0.5964760449
109	0.5960710283
110	0.5957154426
111	0.5950682388
112	0.5940640174
113	0.5934518995
114	0.5929595417
115	0.5923098695
116	0.5916154474
117	0.5911042652
118	0.590619407
119	0.5898955559
120	0.5891550184
121	0.5888025544
122	0.5883848843
123	0.5876814133
124	0.5871627808
125	0.5860843864
126	0.5856744244
127	0.5851874151
128	0.5845585262
129	0.5839147002
130	0.5838493383
131	0.5832716494
132	0.5827322878
133	0.5818986993
134	0.5813498562
135	0.5809941412
136	0.580549576
137	0.5800167084
138	0.5793982661
139	0.5789525785
140	0.5784407823
141	0.578010846
142	0.5772359142
143	0.5766248571
144	0.5762283374
145	0.5755190805
146	0.5748886692
147	0.5742466773
148	0.5738626824
149	0.5730415344
150	0.5725864528
151	0.5719799081
152	0.5715237958
153	0.5708884747
154	0.5703167734
155	0.5696029564
156	0.5689249025
157	0.5683899003
158	0.5677565648
159	0.5671865857
160	0.5666470029
161	0.5659145058
162	0.5655066423
163	0.5649731492
164	0.5645167197
165	0.5641869091
166	0.5636910124
