iter	Passed	Remaining
0	17	17042
1	28	14199
2	39	12965
3	50	12608
4	62	12434
5	77	12834
6	91	12993
7	107	13323
8	116	12879
9	128	12762
10	141	12732
11	158	13016
12	176	13435
13	190	13389
14	214	14063
15	229	14123
16	244	14162
17	260	14225
18	290	15015
19	309	15177
20	371	17310
21	389	17293
22	404	17162
23	421	17125
24	442	17252
25	467	17500
26	489	17628
27	506	17572
28	525	17594
29	556	18003
30	571	17852
31	587	17766
32	601	17631
33	616	17510
34	630	17381
35	644	17266
36	655	17068
37	669	16960
38	683	16832
39	701	16839
40	718	16796
41	733	16721
42	747	16638
43	761	16549
44	788	16741
45	800	16603
46	813	16486
47	825	16363
48	836	16242
49	848	16129
50	860	16004
51	873	15924
52	887	15863
53	911	15971
54	930	15991
55	944	15921
56	956	15820
57	968	15725
58	978	15605
59	991	15531
60	1003	15445
61	1012	15324
62	1028	15298
63	1049	15352
64	1064	15311
65	1078	15256
66	1091	15192
67	1102	15109
68	1115	15053
69	1126	14966
70	1139	14915
71	1154	14885
72	1167	14827
73	1179	14765
74	1205	14866
75	1219	14831
76	1233	14780
77	1246	14730
78	1265	14747
79	1280	14727
80	1294	14691
81	1310	14666
82	1324	14630
83	1339	14607
84	1352	14559
85	1365	14510
86	1380	14491
87	1394	14448
88	1407	14408
89	1422	14381
90	1433	14319
91	1451	14323
92	1481	14447
93	1496	14423
94	1511	14395
95	1528	14396
96	1547	14407
97	1566	14414
98	1585	14428
99	1600	14401
100	1632	14533
101	1687	14857
102	1708	14875
103	1723	14846
104	1739	14830
105	1754	14793
106	1767	14750
107	1783	14733
108	1799	14707
109	1811	14658
110	1822	14594
111	1835	14549
112	1844	14480
113	1857	14439
114	1869	14385
115	1880	14331
116	1897	14323
117	1910	14282
118	1921	14228
119	1932	14172
120	1948	14153
121	1962	14120
122	1975	14082
123	1989	14055
124	2003	14023
125	2014	13975
126	2028	13947
127	2056	14010
128	2071	13983
129	2082	13934
130	2096	13906
131	2108	13867
132	2122	13833
133	2134	13792
134	2145	13744
135	2159	13716
136	2169	13663
137	2181	13628
138	2200	13628
139	2224	13664
140	2234	13615
141	2247	13582
142	2264	13571
143	2278	13542
144	2292	13516
145	2305	13483
146	2315	13438
147	2330	13418
148	2341	13373
149	2355	13347
150	2367	13314
151	2379	13275
152	2391	13237
153	2403	13202
154	2415	13166
155	2426	13126
156	2438	13094
157	2453	13072
158	2474	13090
159	2489	13068
160	2505	13056
161	2521	13045
162	2539	13042
163	2554	13023
164	2568	12997
165	2584	12983
166	2594	12942
167	2610	12926
168	2625	12911
169	2646	12920
170	2657	12883
171	2670	12855
172	2682	12824
173	2695	12796
174	2717	12810
175	2756	12904
176	2793	12991
177	2825	13048
178	2847	13058
179	2867	13061
180	2885	13058
181	2913	13093
182	2929	13078
183	2948	13075
184	2965	13062
185	2982	13053
186	2996	13028
187	3009	12999
188	3020	12962
189	3031	12922
190	3043	12892
191	3061	12885
192	3075	12859
193	3088	12833
194	3100	12798
195	3111	12764
196	3122	12729
197	3133	12692
198	3146	12665
199	3161	12647
200	3179	12637
201	3193	12615
202	3215	12625
203	3229	12601
204	3244	12580
205	3304	12735
206	3349	12831
207	3368	12827
208	3395	12852
209	3412	12836
210	3436	12851
211	3482	12943
212	3502	12941
213	3553	13051
214	3630	13255
215	3654	13263
216	3878	13995
217	3896	13977
218	3914	13961
219	3937	13958
220	3953	13936
221	3998	14012
222	4021	14011
223	4053	14043
224	4169	14361
225	4274	14639
226	4295	14628
227	4317	14620
228	4341	14615
229	4359	14593
230	4378	14577
231	4397	14555
232	4413	14528
233	4431	14505
234	4448	14481
235	4467	14461
236	4481	14429
237	4498	14401
238	4514	14376
239	4528	14340
240	4545	14315
241	4561	14287
242	4604	14345
243	4636	14364
244	4650	14330
245	4677	14336
246	4690	14298
247	4704	14264
248	4717	14229
249	4729	14189
250	4757	14197
251	4775	14173
252	4790	14142
253	4805	14112
254	4819	14080
255	4838	14061
256	4853	14031
257	4870	14007
258	4887	13983
259	4900	13948
260	4916	13920
261	4931	13890
262	4942	13851
263	4956	13818
264	4974	13797
265	4999	13796
266	5024	13793
267	5055	13809
268	5086	13822
269	5113	13824
270	5134	13811
271	5154	13796
272	5179	13792
273	5198	13774
274	5218	13756
275	5233	13728
276	5252	13709
277	5282	13718
278	5302	13703
279	5319	13678
280	5335	13651
281	5350	13623
282	5365	13592
283	5381	13566
284	5399	13545
285	5412	13513
286	5427	13483
287	5440	13450
288	5454	13419
289	5474	13404
290	5493	13385
291	5510	13359
292	5524	13330
293	5536	13295
294	5550	13264
295	5571	13250
296	5586	13222
297	5602	13197
298	5618	13171
299	5633	13144
300	5650	13122
301	5664	13093
302	5678	13061
303	5691	13031
304	5707	13004
305	5721	12976
306	5738	12953
307	5751	12921
308	5777	12919
309	5810	12933
310	5832	12921
311	5851	12902
312	5874	12894
313	5910	12913
314	5942	12921
315	5959	12898
316	5983	12892
317	6004	12878
318	6021	12853
319	6037	12829
320	6059	12817
321	6081	12806
322	6129	12846
323	6173	12881
324	6192	12861
325	6214	12848
326	6231	12825
327	6259	12824
328	6274	12796
329	6290	12772
330	6306	12745
331	6342	12760
332	6357	12734
333	6373	12708
334	6390	12685
335	6406	12659
336	6422	12635
337	6441	12615
338	6455	12586
339	6465	12551
340	6481	12525
341	6491	12489
342	6505	12460
343	6517	12428
344	6528	12394
345	6547	12375
346	6558	12342
347	6570	12310
348	6582	12278
349	6597	12252
350	6606	12215
351	6622	12190
352	6633	12158
353	6653	12140
354	6668	12115
355	6682	12089
356	6700	12068
357	6720	12051
358	6742	12038
359	6766	12028
360	6781	12003
361	6797	11980
362	6815	11959
363	6830	11934
364	6861	11936
365	6876	11912
366	6893	11890
367	6909	11865
368	6924	11840
369	6935	11809
370	6952	11787
371	6966	11760
372	6981	11734
373	6994	11707
374	7008	11681
375	7025	11658
376	7038	11630
377	7050	11600
378	7066	11578
379	7081	11553
380	7095	11528
381	7110	11503
382	7121	11472
383	7131	11440
384	7144	11412
385	7164	11396
386	7193	11393
387	7206	11367
388	7218	11337
389	7231	11310
390	7242	11281
391	7253	11250
392	7265	11221
393	7274	11188
394	7285	11158
395	7298	11131
396	7308	11100
397	7320	11072
398	7331	11043
399	7343	11014
400	7357	10991
401	7370	10963
402	7381	10935
403	7396	10912
404	7408	10884
405	7422	10859
406	7438	10837
407	7454	10816
408	7474	10800
409	7493	10783
410	7510	10763
411	7526	10742
412	7542	10719
413	7561	10703
414	7576	10680
415	7611	10685
416	7633	10671
417	7648	10649
418	7672	10639
419	7693	10624
420	7710	10604
421	7726	10583
422	7742	10561
423	7759	10541
424	7778	10524
425	7797	10506
426	7824	10499
427	7837	10475
428	7858	10460
429	7882	10449
430	7898	10427
431	7916	10408
432	7932	10386
433	7953	10372
434	7969	10350
435	7984	10328
436	8004	10312
437	8021	10292
438	8040	10274
439	8057	10254
440	8073	10233
441	8090	10213
442	8105	10190
443	8120	10168
444	8137	10148
445	8155	10130
446	8170	10107
447	8187	10088
448	8204	10068
449	8221	10048
450	8238	10028
451	8248	10000
452	8260	9974
453	8267	9942
454	8289	9929
455	8314	9918
456	8335	9904
457	8356	9888
458	8377	9874
459	8397	9858
460	8430	9856
461	8457	9848
462	8478	9833
463	8501	9820
464	8525	9809
465	8545	9792
466	8570	9781
467	8590	9765
468	8599	9736
469	8606	9705
470	8615	9676
471	8631	9655
472	8655	9643
473	8677	9629
474	8696	9611
475	8714	9593
476	8737	9580
477	8756	9562
478	8775	9545
479	8796	9530
480	8813	9510
481	8833	9493
482	8852	9476
483	8875	9462
484	8993	9549
485	9102	9627
486	9195	9686
487	9250	9705
488	9318	9737
489	9363	9745
490	9413	9758
491	9435	9742
492	9465	9733
493	9495	9726
494	9512	9704
495	9545	9699
496	9563	9679
